Order ID,Order Date,Customer Name,Region,City,Category,Sub-Category,Product Name,Quantity,Unit Price,Discount,Sales,Profit,Payment Mode
10001,10/19/2024,Kashvi Varty,South,Bangalore,Books,Non-Fiction,Non-Fiction Ipsum,2,36294,5,68958.6,10525.09,Debit Card
10002,8/30/2025,Advik Desai,North,Delhi,Groceries,Rice,Rice Nemo,1,42165,20,33732,6299.66,Debit Card
10003,11/4/2023,Rhea Kalla,East,Patna,Kitchen,Juicer,Juicer Odio,4,64876,20,207603.2,19850.27,Credit Card
10004,5/23/2025,Anika Sen,East,Kolkata,Groceries,Oil,Oil Doloribus,5,37320,15,158610,36311.02,UPI
10005,1/19/2025,Akarsh Kaul,West,Pune,Clothing,Kids Wear,Kids Wear Quo,1,50037,10,45033.3,9050.04,Debit Card
10006,4/6/2025,Vardaniya Jayaraman,West,Pune,Furniture,Chair,Chair Assumenda,5,40287,15,171219.75,23722.84,Credit Card
10007,10/13/2023,Drishya Khare,West,Mumbai,Clothing,Accessories,Accessories Minima,2,3636,5,6908.4,680.26,Debit Card
10008,8/17/2025,Misha Dua,North,Lucknow,Books,Biography,Biography Vel,1,15885,10,14296.5,1289.03,Debit Card
10009,3/7/2025,Arhaan Vala,North,Jaipur,Groceries,Spices,Spices Expedita,1,40834,20,32667.2,3700.89,Credit Card
10010,12/2/2024,Lavanya Hayer,West,Goa,Kitchen,Juicer,Juicer Voluptatibus,2,16686,15,28366.2,5703.09,UPI
10011,8/24/2025,Divyansh Thaman,North,Lucknow,Kitchen,Cookware Set,Cookware Set Doloremque,2,10761,20,17217.6,4139.82,Credit Card
10012,5/21/2024,Nishith Kumar,South,Hyderabad,Beauty,Perfume,Perfume Itaque,3,27066,10,73078.2,16216.55,Net Banking
10013,12/5/2024,Anika Khanna,North,Chandigarh,Home Decor,Vase,Vase Ratione,1,53951,5,51253.45,6826.05,Credit Card
10014,12/3/2023,Amani Acharya,East,Patna,Clothing,Women's Wear,Women's Wear Optio,5,23843,0,119215,21029.48,UPI
10015,7/25/2025,Anay Grewal,North,Jaipur,Kitchen,Juicer,Juicer Debitis,2,15444,5,29343.6,5535.44,COD
10016,10/13/2023,Stuvan Majumdar,East,Bhubaneswar,Electronics,Laptop,Laptop Numquam,5,51645,10,232402.5,35657.72,Debit Card
10017,5/24/2024,Ritvik Ramanathan,South,Hyderabad,Electronics,Smartwatch,Smartwatch Ad,3,52691,15,134362.05,26225.16,UPI
10018,9/7/2025,Darshit Sharma,South,Chennai,Groceries,Oil,Oil Odio,4,3775,10,13590,1234.71,Net Banking
10019,6/15/2024,Sara Chanda,East,Patna,Sports,Dumbbells,Dumbbells Soluta,3,16579,20,39789.6,4240.62,Credit Card
10020,1/11/2024,Gatik Ravi,West,Pune,Books,Textbook,Textbook Inventore,5,36393,5,172866.75,39437.91,Debit Card
10021,10/15/2023,Jivin Sunder,West,Ahmedabad,Kitchen,Refrigerator,Refrigerator Commodi,1,6574,20,5259.2,580.75,UPI
10022,3/16/2024,Kashvi Ratti,North,Lucknow,Groceries,Wheat,Wheat Natus,5,26762,15,113738.5,27267.31,Credit Card
10023,11/2/2023,Vivaan Goyal,West,Surat,Books,Comics,Comics Aperiam,1,47699,20,38159.2,8535.56,UPI
10024,7/10/2025,Nayantara Bhagat,East,Ranchi,Beauty,Face Cream,Face Cream Repellat,1,28257,10,25431.3,3959.79,Credit Card
10025,6/21/2025,Lakshay Ramakrishnan,North,Chandigarh,Electronics,Headphones,Headphones Itaque,5,24056,20,96224,20551.56,COD
10026,1/13/2024,Dhanush Vaidya,South,Chennai,Groceries,Rice,Rice Impedit,2,65756,5,124936.4,19544.76,UPI
10027,4/22/2025,Kimaya Rege,North,Lucknow,Beauty,Foundation,Foundation Illo,1,8276,0,8276,537.47,Net Banking
10028,12/12/2024,Anika Wable,East,Bhubaneswar,Furniture,Table,Table Error,3,731,0,2193,214.1,UPI
10029,8/27/2025,Kavya Bhatnagar,North,Delhi,Toys,RC Car,RC Car Amet,2,67085,20,107336,22034.77,Net Banking
10030,4/22/2024,Adira Seshadri,North,Chandigarh,Groceries,Sugar,Sugar Excepturi,5,79453,15,337675.25,80309.87,Debit Card
10031,1/7/2025,Zaina Sidhu,West,Goa,Groceries,Wheat,Wheat Consequuntur,2,25545,10,45981,9818.01,Credit Card
10032,12/11/2023,Bhamini Kuruvilla,North,Jaipur,Sports,Cricket Bat,Cricket Bat Voluptatum,4,76643,5,291243.4,40522.22,UPI
